zip,state_id,state_name
2126,MA,Massachusetts
2127,MA,Massachusetts
2128,MA,Massachusetts
2129,MA,Massachusetts
2130,MA,Massachusetts
2131,MA,Massachusetts
2132,MA,Massachusetts
2134,MA,Massachusetts
2135,MA,Massachusetts
2136,MA,Massachusetts
2138,MA,Massachusetts
2139,MA,Massachusetts
2140,MA,Massachusetts
2141,MA,Massachusetts
2142,MA,Massachusetts
2143,MA,Massachusetts
2144,MA,Massachusetts
2145,MA,Massachusetts
2148,MA,Massachusetts
2149,MA,Massachusetts
2150,MA,Massachusetts
2151,MA,Massachusetts
2152,MA,Massachusetts
2155,MA,Massachusetts
2163,MA,Massachusetts
2169,MA,Massachusetts
2170,MA,Massachusetts
2171,MA,Massachusetts
2176,MA,Massachusetts
2180,MA,Massachusetts
2184,MA,Massachusetts
2186,MA,Massachusetts
2188,MA,Massachusetts
2189,MA,Massachusetts
2190,MA,Massachusetts
2191,MA,Massachusetts
2199,MA,Massachusetts
2203,MA,Massachusetts
2210,MA,Massachusetts
2215,MA,Massachusetts
2301,MA,Massachusetts
2302,MA,Massachusetts
2322,MA,Massachusetts
2324,MA,Massachusetts
2330,MA,Massachusetts
2332,MA,Massachusetts
2333,MA,Massachusetts
2338,MA,Massachusetts
2339,MA,Massachusetts
2341,MA,Massachusetts
2343,MA,Massachusetts
2346,MA,Massachusetts
2347,MA,Massachusetts
2351,MA,Massachusetts
2356,MA,Massachusetts
2357,MA,Massachusetts
2359,MA,Massachusetts
2360,MA,Massachusetts
2364,MA,Massachusetts
2366,MA,Massachusetts
2367,MA,Massachusetts
2368,MA,Massachusetts
2370,MA,Massachusetts
2375,MA,Massachusetts
2379,MA,Massachusetts
2382,MA,Massachusetts
2420,MA,Massachusetts
2421,MA,Massachusetts
2445,MA,Massachusetts
2446,MA,Massachusetts
2451,MA,Massachusetts
2452,MA,Massachusetts
2453,MA,Massachusetts
2457,MA,Massachusetts
2458,MA,Massachusetts
2459,MA,Massachusetts
2460,MA,Massachusetts
2461,MA,Massachusetts
2462,MA,Massachusetts
2464,MA,Massachusetts
2465,MA,Massachusetts
2466,MA,Massachusetts
2467,MA,Massachusetts
2468,MA,Massachusetts
2472,MA,Massachusetts
2474,MA,Massachusetts
2476,MA,Massachusetts
2478,MA,Massachusetts
2481,MA,Massachusetts
2482,MA,Massachusetts
2492,MA,Massachusetts
2493,MA,Massachusetts
2494,MA,Massachusetts
2532,MA,Massachusetts
2534,MA,Massachusetts
2535,MA,Massachusetts
